	run	ndata	hidden_size	nlayers	dropout	embedding_size	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	base_train_loss	base_dev_loss	base_test_loss	base_train_acc	base_dev_acc	base_test_acc	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
11	11	26	467	2	0.27	113	4.5853	5.2066	5.2091	0.1923	0.1325	0.1333	0.0004	6.7129	6.7342	1.0	0.1571	0.1567	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
12	12	33	377	2	0.5	99	4.4091	5.14	5.1428	0.2121	0.1325	0.1333	0.0059	5.9322	5.9468	1.0	0.2242	0.2265	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
13	13	42	436	0	0.44	148	4.5329	5.0996	5.1013	0.1667	0.1325	0.1333	0.0442	4.9975	4.9726	1.0	0.2316	0.2332	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
14	14	53	382	0	0.1	165	4.5302	5.052	5.0532	0.1887	0.1325	0.1333	0.0914	5.0158	5.0415	1.0	0.2382	0.2347	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
15	15	67	326	2	0.5	60	4.5732	5.0467	5.0505	0.1642	0.1325	0.1333	0.1787	5.5966	5.6008	1.0	0.2537	0.2594	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
16	16	84	326	2	0.49	84	4.4723	4.9956	4.9975	0.1548	0.0871	0.0859	0.1195	5.2404	5.2368	1.0	0.2693	0.2647	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
17	17	106	247	2	0.44	238	4.5024	4.9224	4.9228	0.1415	0.0871	0.0859	0.0072	4.6387	4.6432	1.0	0.2908	0.2872	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
18	18	134	179	2	0.05	122	4.4543	4.879	4.8771	0.1418	0.0871	0.0859	0.0069	4.9062	4.9088	1.0	0.29	0.2883	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
19	19	170	137	2	0.02	144	4.5188	4.7848	4.7849	0.1235	0.0871	0.0859	0.0121	4.1941	4.2165	1.0	0.3387	0.3426	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
20	20	215	786	2	0.23	79	4.4632	4.7362	4.7369	0.1302	0.0788	0.0795	0.001	5.5568	5.6482	1.0	0.3342	0.3359	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
21	21	271	410	1	0.31	159	4.451	4.6909	4.6923	0.1218	0.0871	0.0859	0.0127	3.9414	3.9708	1.0	0.3622	0.3631	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
